Car_Name;N_years;Selling_Price_50_Percent;Present_Price;Kms_Driven;Fuel_Type;Seller_Type;Transmission;Owner
ritz;4;0;5.59;27000;Petrol;Dealer;Manual;0
sx4;5;1;9.54;43000;Diesel;Dealer;Manual;0
ciaz;1;0;9.85;6900;Petrol;Dealer;Manual;0
wagon r;7;0;4.15;5200;Petrol;Dealer;Manual;0
swift;4;0;6.87;42450;Diesel;Dealer;Manual;0
vitara brezza;0;0;9.83;2071;Diesel;Dealer;Manual;0
ciaz;3;0;8.12;18796;Petrol;Dealer;Manual;0
s cross;3;0;8.61;33429;Diesel;Dealer;Manual;0
ciaz;2;0;8.89;20273;Diesel;Dealer;Manual;0
ciaz;3;0;8.92;42367;Diesel;Dealer;Manual;0
alto 800;1;0;3.6;2135;Petrol;Dealer;Manual;0
ciaz;3;0;10.38;51000;Diesel;Dealer;Manual;0
ciaz;3;0;9.94;15000;Petrol;Dealer;Automatic;0
ertiga;3;0;7.71;26000;Petrol;Dealer;Manual;0
dzire;9;1;7.21;77427;Petrol;Dealer;Manual;0
ertiga;2;0;10.79;43000;Diesel;Dealer;Manual;0
ertiga;3;0;10.79;41678;Diesel;Dealer;Manual;0
ertiga;2;0;10.79;43000;Diesel;Dealer;Manual;0
wagon r;3;0;5.09;35500;CNG;Dealer;Manual;0
sx4;8;1;7.98;41442;Petrol;Dealer;Manual;0
alto k10;2;0;3.95;25000;Petrol;Dealer;Manual;0
ignis;1;0;5.71;2400;Petrol;Dealer;Manual;0
sx4;7;0;8.01;50000;Petrol;Dealer;Automatic;0
alto k10;4;0;3.46;45280;Petrol;Dealer;Manual;0
wagon r;5;0;4.41;56879;Petrol;Dealer;Manual;0
swift;7;0;4.99;20000;Petrol;Dealer;Manual;0
swift;5;0;5.87;55138;Petrol;Dealer;Manual;0
swift;1;0;6.49;16200;Petrol;Individual;Manual;0
alto k10;8;1;3.95;44542;Petrol;Dealer;Manual;0
ciaz;3;0;10.38;45000;Diesel;Dealer;Manual;0
ritz;6;0;5.98;51439;Diesel;Dealer;Manual;0
ritz;7;1;4.89;54200;Petrol;Dealer;Manual;0
swift;4;0;7.49;39000;Diesel;Dealer;Manual;0
ertiga;4;0;9.95;45000;Diesel;Dealer;Manual;0
dzire;4;0;8.06;45000;Diesel;Dealer;Manual;0
sx4;7;1;7.74;49998;CNG;Dealer;Manual;0
dzire;3;0;7.2;48767;Petrol;Dealer;Manual;0
800;15;1;2.28;127000;Petrol;Individual;Manual;0
alto k10;2;0;3.76;10079;Petrol;Dealer;Manual;0
sx4;15;1;7.98;62000;Petrol;Dealer;Manual;0
baleno;2;0;7.87;24524;Petrol;Dealer;Automatic;0
alto k10;4;0;3.98;46706;Petrol;Dealer;Manual;0
sx4;10;1;7.15;58000;Petrol;Dealer;Manual;0
dzire;4;0;8.06;45780;Diesel;Dealer;Manual;0
omni;6;1;2.69;50000;Petrol;Dealer;Manual;0
ciaz;4;0;12.04;15000;Petrol;Dealer;Automatic;0
ritz;5;0;4.89;64532;Petrol;Dealer;Manual;0
wagon r;12;1;4.15;65000;Petrol;Dealer;Manual;0
ertiga;3;0;7.71;25870;Petrol;Dealer;Manual;0
ciaz;1;0;9.29;37000;Petrol;Dealer;Automatic;0
fortuner;6;1;30.61;104707;Diesel;Dealer;Automatic;0
fortuner;3;0;30.61;40000;Diesel;Dealer;Automatic;0
innova;1;0;19.77;15000;Diesel;Dealer;Automatic;0
fortuner;5;0;30.61;135000;Diesel;Individual;Automatic;0
innova;13;1;10.21;90000;Petrol;Individual;Manual;0
corolla altis;9;1;15.04;70000;Petrol;Dealer;Automatic;0
etios cross;3;0;7.27;40534;Petrol;Dealer;Manual;0
corolla altis;8;1;18.54;50000;Petrol;Dealer;Manual;0
etios g;4;0;6.8;39485;Petrol;Dealer;Manual;1
fortuner;4;0;35.96;41000;Diesel;Dealer;Automatic;0
corolla altis;5;1;18.61;40001;Petrol;Dealer;Manual;0
etios cross;3;0;7.7;40588;Petrol;Dealer;Manual;0
fortuner;4;0;35.96;78000;Diesel;Dealer;Automatic;0
fortuner;3;0;35.96;47000;Diesel;Dealer;Automatic;0
fortuner;1;0;36.23;6000;Diesel;Dealer;Automatic;0
etios liva;4;0;6.95;45000;Diesel;Dealer;Manual;0
innova;1;0;23.15;11000;Petrol;Dealer;Automatic;0
fortuner;8;1;20.45;59000;Diesel;Dealer;Manual;0
corolla altis;7;1;13.74;88000;Petrol;Dealer;Manual;0
corolla altis;2;0;20.91;12000;Petrol;Dealer;Manual;0
etios liva;4;0;6.76;71000;Diesel;Dealer;Manual;0
corolla altis;7;1;12.48;45000;Diesel;Dealer;Manual;0
corolla altis;5;1;18.61;56001;Petrol;Dealer;Manual;0
etios liva;7;1;5.71;43000;Petrol;Dealer;Manual;0
etios cross;4;0;8.93;83000;Diesel;Dealer;Manual;0
etios g;3;0;6.8;36000;Petrol;Dealer;Manual;0
corolla altis;5;1;14.68;72000;Petrol;Dealer;Manual;0
corolla;14;1;12.35;135154;Petrol;Dealer;Automatic;0
corolla altis;8;1;22.83;80000;Petrol;Dealer;Automatic;0
fortuner;6;1;30.61;89000;Diesel;Dealer;Automatic;0
corolla altis;2;0;14.89;23000;Diesel;Dealer;Manual;0
etios gd;3;0;7.85;40000;Diesel;Dealer;Manual;0
innova;1;0;25.39;15000;Diesel;Dealer;Automatic;0
innova;3;0;13.46;38000;Diesel;Dealer;Manual;0
innova;13;1;13.46;197176;Diesel;Dealer;Manual;0
camry;12;1;23.73;142000;Petrol;Individual;Automatic;3
land cruiser;8;1;92.6;78000;Diesel;Dealer;Manual;0
corolla altis;6;1;13.74;56000;Petrol;Dealer;Manual;0
etios liva;5;0;6.05;47000;Petrol;Dealer;Manual;0
etios g;4;0;6.76;40000;Petrol;Dealer;Manual;0
corolla altis;9;1;18.61;62000;Petrol;Dealer;Manual;0
innova;4;0;16.09;58242;Diesel;Dealer;Manual;0
innova;13;1;13.7;75000;Petrol;Dealer;Manual;0
fortuner;3;0;30.61;40000;Diesel;Dealer;Automatic;0
corolla altis;10;1;22.78;89000;Petrol;Dealer;Automatic;0
corolla altis;6;1;18.61;72000;Petrol;Dealer;Manual;0
innova;2;0;25.39;29000;Diesel;Dealer;Automatic;0
corolla altis;1;0;18.64;8700;Petrol;Dealer;Manual;0
corolla altis;5;1;18.61;45000;Petrol;Dealer;Manual;0
fortuner;8;1;20.45;50024;Diesel;Dealer;Manual;0
Royal Enfield Thunder 500;2;0;1.9;3000;Petrol;Individual;Manual;0
UM Renegade Mojave;1;0;1.82;1400;Petrol;Individual;Manual;0
KTM RC200;1;0;1.78;4000;Petrol;Individual;Manual;0
Bajaj Dominar 400;1;0;1.6;1200;Petrol;Individual;Manual;0
Royal Enfield Classic 350;1;0;1.47;4100;Petrol;Individual;Manual;0
KTM RC390;3;0;2.37;21700;Petrol;Individual;Manual;0
Hyosung GT250R;4;1;3.45;16500;Petrol;Individual;Manual;1
Royal Enfield Thunder 350;5;0;1.5;15000;Petrol;Individual;Manual;0
Royal Enfield Thunder 350;2;0;1.5;18000;Petrol;Individual;Manual;0
Royal Enfield Classic 350;1;0;1.47;11000;Petrol;Individual;Manual;0
KTM RC200;2;0;1.78;6000;Petrol;Individual;Manual;0
Royal Enfield Thunder 350;2;0;1.5;8700;Petrol;Individual;Manual;0
KTM 390 Duke ;4;1;2.4;7000;Petrol;Individual;Manual;0
Mahindra Mojo XT300;2;0;1.4;35000;Petrol;Individual;Manual;0
Royal Enfield Classic 350;3;0;1.47;17000;Petrol;Individual;Manual;0
Royal Enfield Classic 350;3;0;1.47;17500;Petrol;Individual;Manual;0
Royal Enfield Classic 350;5;0;1.47;33000;Petrol;Individual;Manual;0
Royal Enfield Thunder 500;3;0;1.9;14000;Petrol;Individual;Manual;0
Royal Enfield Classic 350;3;0;1.47;26000;Petrol;Individual;Manual;0
Royal Enfield Thunder 500;5;0;1.9;5400;Petrol;Individual;Manual;0
Bajaj Pulsar RS200;2;0;1.26;5700;Petrol;Individual;Manual;0
Royal Enfield Thunder 350;7;0;1.5;6900;Petrol;Individual;Manual;0
Royal Enfield Bullet 350;2;0;1.17;6000;Petrol;Individual;Manual;0
Royal Enfield Classic 350;5;0;1.47;46500;Petrol;Individual;Manual;0
Royal Enfield Classic 500;6;0;1.75;11500;Petrol;Individual;Manual;0
Royal Enfield Classic 500;9;0;1.75;40000;Petrol;Individual;Manual;0
Bajaj Avenger 220;1;0;0.95;1300;Petrol;Individual;Manual;0
Bajaj Avenger 150;2;0;0.8;7000;Petrol;Individual;Manual;0
Honda CB Hornet 160R;1;0;0.87;3000;Petrol;Individual;Manual;0
Yamaha FZ S V 2.0;1;0;0.84;5000;Petrol;Individual;Manual;0
Honda CB Hornet 160R;1;0;0.87;11000;Petrol;Individual;Manual;0
Yamaha FZ 16;3;0;0.82;18000;Petrol;Individual;Manual;0
Bajaj Avenger 220;1;0;0.95;3500;Petrol;Individual;Manual;0
Bajaj Avenger 220;2;0;0.95;500;Petrol;Individual;Manual;0
TVS Apache RTR 160;1;0;0.81;11800;Petrol;Individual;Manual;0
Bajaj Pulsar 150;3;0;0.74;5000;Petrol;Individual;Manual;0
Honda CBR 150;4;0;1.2;23500;Petrol;Individual;Manual;0
Hero Extreme;5;0;0.787;16000;Petrol;Individual;Manual;0
Honda CB Hornet 160R;2;0;0.87;15000;Petrol;Individual;Manual;0
Bajaj Avenger 220 dtsi;3;0;0.95;16600;Petrol;Individual;Manual;0
Honda CBR 150;5;0;1.2;32000;Petrol;Individual;Manual;0
Bajaj Avenger 150 street;2;0;0.8;20000;Petrol;Individual;Manual;0
Yamaha FZ  v 2.0;3;0;0.84;29000;Petrol;Individual;Manual;0
Yamaha FZ  v 2.0;2;0;0.84;25000;Petrol;Individual;Manual;0
Bajaj Pulsar  NS 200;4;0;0.99;25000;Petrol;Individual;Manual;0
TVS Apache RTR 160;6;0;0.81;19000;Petrol;Individual;Manual;0
Hero Extreme;4;0;0.787;15000;Petrol;Individual;Manual;0
Yamaha FZ S V 2.0;3;0;0.84;58000;Petrol;Individual;Manual;0
Bajaj Pulsar 220 F;8;0;0.94;45000;Petrol;Individual;Manual;0
Bajaj Pulsar 220 F;2;0;0.94;24000;Petrol;Individual;Manual;0
TVS Apache RTR 180;7;0;0.826;6000;Petrol;Individual;Manual;0
Hero Passion X pro;2;0;0.55;31000;Petrol;Individual;Manual;0
Bajaj Pulsar NS 200;6;0;0.99;13000;Petrol;Individual;Manual;0
Bajaj Pulsar NS 200;5;0;0.99;45000;Petrol;Individual;Manual;0
Yamaha Fazer ;4;0;0.88;8000;Petrol;Individual;Manual;0
Honda Activa 4G;1;0;0.51;4300;Petrol;Individual;Automatic;0
TVS Sport ;1;0;0.52;15000;Petrol;Individual;Manual;0
Yamaha FZ S V 2.0;3;0;0.84;23000;Petrol;Individual;Manual;0
Honda Dream Yuga ;1;0;0.54;8600;Petrol;Individual;Manual;0
Honda Activa 4G;1;0;0.51;4000;Petrol;Individual;Automatic;0
Bajaj Avenger Street 220;7;1;0.95;24000;Petrol;Individual;Manual;0
TVS Apache RTR 180;4;0;0.826;23000;Petrol;Individual;Manual;0
Bajaj Pulsar NS 200;6;1;0.99;14500;Petrol;Individual;Manual;0
Bajaj Avenger 220 dtsi;8;1;0.95;27000;Petrol;Individual;Manual;0
Hero Splender iSmart;2;0;0.54;14000;Petrol;Individual;Manual;0
Activa 3g;2;0;0.54;500;Petrol;Individual;Automatic;0
Hero Passion Pro;2;0;0.55;1000;Petrol;Individual;Manual;0
TVS Apache RTR 160;4;0;0.81;42000;Petrol;Individual;Manual;0
Honda CB Trigger;5;0;0.73;12000;Petrol;Individual;Manual;0
Hero Splender iSmart;3;0;0.54;14000;Petrol;Individual;Manual;0
Yamaha FZ S ;6;1;0.83;5500;Petrol;Individual;Manual;0
Hero Passion Pro;3;0;0.55;6700;Petrol;Individual;Manual;0
Bajaj Pulsar 135 LS;4;0;0.64;13700;Petrol;Individual;Manual;0
Activa 4g;1;0;0.51;1300;Petrol;Individual;Automatic;0
Honda CB Unicorn;3;0;0.72;38600;Petrol;Individual;Manual;0
Hero Honda CBZ extreme;7;1;0.787;75000;Petrol;Individual;Manual;0
Honda Karizma;7;1;1.05;30000;Petrol;Individual;Manual;0
Honda Activa 125;2;0;0.57;24000;Petrol;Individual;Automatic;0
TVS Jupyter;4;0;0.52;19000;Petrol;Individual;Automatic;0
Honda Karizma;8;1;1.05;213000;Petrol;Individual;Manual;0
Hero Honda Passion Pro;6;0;0.51;60000;Petrol;Individual;Manual;0
Hero Splender Plus;2;0;0.48;50000;Petrol;Individual;Manual;0
Honda CB Shine;5;0;0.58;30000;Petrol;Individual;Manual;0
Bajaj Discover 100;5;0;0.47;21000;Petrol;Individual;Manual;0
Bajaj Pulsar 150;10;1;0.75;26000;Petrol;Individual;Manual;1
Suzuki Access 125;10;1;0.58;1900;Petrol;Individual;Automatic;0
TVS Wego;8;1;0.52;22000;Petrol;Individual;Automatic;0
Honda CB twister;5;1;0.51;32000;Petrol;Individual;Manual;0
Hero Glamour;5;1;0.57;18000;Petrol;Individual;Manual;0
Hero Super Splendor;13;1;0.57;55000;Petrol;Individual;Manual;0
Bajaj Pulsar 150;10;1;0.75;60000;Petrol;Individual;Manual;0
Bajaj Discover 125;6;1;0.57;25000;Petrol;Individual;Manual;1
Hero Hunk;11;1;0.75;49000;Petrol;Individual;Manual;1
Hero  Ignitor Disc;5;1;0.65;24000;Petrol;Individual;Manual;1
Hero  CBZ Xtreme;10;1;0.787;50000;Petrol;Individual;Manual;0
Bajaj  ct 100;3;0;0.32;35000;Petrol;Individual;Manual;0
Activa 3g;10;1;0.52;500000;Petrol;Individual;Automatic;0
Honda CB twister;8;1;0.51;33000;Petrol;Individual;Manual;0
Bajaj Discover 125;7;1;0.57;35000;Petrol;Individual;Manual;1
Honda CB Shine;11;1;0.58;53000;Petrol;Individual;Manual;0
Bajaj Pulsar 150;12;1;0.75;92233;Petrol;Individual;Manual;0
i20;8;1;6.79;58000;Diesel;Dealer;Manual;1
grand i10;3;0;5.7;28200;Petrol;Dealer;Manual;0
i10;7;0;4.6;53460;Petrol;Dealer;Manual;0
eon;3;0;4.43;28282;Petrol;Dealer;Manual;0
grand i10;2;0;5.7;3493;Petrol;Dealer;Manual;1
xcent;1;0;7.13;12479;Petrol;Dealer;Manual;0
grand i10;3;0;5.7;34797;Petrol;Dealer;Automatic;0
i20;1;0;8.1;3435;Petrol;Dealer;Manual;0
grand i10;3;0;5.7;21125;Diesel;Dealer;Manual;0
i10;6;0;4.6;35775;Petrol;Dealer;Manual;0
elantra;3;0;14.79;43535;Diesel;Dealer;Manual;0
creta;2;0;13.6;22671;Petrol;Dealer;Manual;0
i20;7;1;6.79;31604;Petrol;Dealer;Manual;0
grand i10;1;0;5.7;20114;Petrol;Dealer;Manual;0
verna;6;1;9.4;36100;Petrol;Dealer;Manual;0
eon;2;0;4.43;12500;Petrol;Dealer;Manual;0
eon;2;0;4.43;15000;Petrol;Dealer;Manual;0
verna;4;0;9.4;45078;Petrol;Dealer;Manual;0
verna;6;1;9.4;36000;Petrol;Dealer;Manual;0
eon;1;0;4.43;38488;Petrol;Dealer;Manual;0
i20;5;0;6.79;32000;Petrol;Dealer;Automatic;0
i20;4;0;7.6;77632;Diesel;Dealer;Manual;0
verna;3;0;9.4;61381;Diesel;Dealer;Manual;0
verna;5;0;9.4;36198;Petrol;Dealer;Automatic;0
i10;7;0;4.6;22517;Petrol;Dealer;Manual;0
grand i10;3;0;5.7;24678;Petrol;Dealer;Manual;0
i10;7;0;4.43;57000;Petrol;Dealer;Manual;0
verna;6;0;9.4;60000;Diesel;Dealer;Manual;0
i20;6;1;6.79;52132;Diesel;Dealer;Manual;0
verna;5;0;9.4;45000;Diesel;Dealer;Manual;0
verna;1;0;9.4;15001;Petrol;Dealer;Manual;0
elantra;3;0;14.79;12900;Petrol;Dealer;Automatic;0
grand i10;5;0;5.7;53000;Diesel;Dealer;Manual;0
grand i10;3;0;5.7;4492;Petrol;Dealer;Manual;0
verna;1;0;9.4;15141;Petrol;Dealer;Manual;0
eon;2;0;4.43;11849;Petrol;Dealer;Manual;0
creta;3;0;13.6;68000;Diesel;Dealer;Manual;0
verna;5;0;9.4;60241;Petrol;Dealer;Manual;0
eon;6;1;4.43;23709;Petrol;Dealer;Manual;0
verna;6;0;9.4;32322;Diesel;Dealer;Manual;0
xcent;3;0;7.13;35866;Petrol;Dealer;Manual;1
xcent;4;0;7.13;34000;Petrol;Dealer;Manual;0
i20;2;0;7.6;7000;Petrol;Dealer;Manual;0
verna;5;0;9.4;49000;Diesel;Dealer;Manual;0
verna;6;0;9.4;71000;Diesel;Dealer;Manual;0
i20;6;0;6.79;35000;Petrol;Dealer;Manual;0
verna;3;0;9.4;36000;Petrol;Dealer;Manual;0
i10;5;0;4.6;30000;Petrol;Dealer;Manual;0
i20;2;0;7.6;17000;Petrol;Dealer;Manual;0
creta;2;0;13.6;35934;Diesel;Dealer;Manual;0
city;5;0;9.9;56701;Petrol;Dealer;Manual;0
brio;3;0;6.82;31427;Petrol;Dealer;Automatic;0
city;4;0;9.9;48000;Diesel;Dealer;Manual;0
city;5;0;9.9;54242;Petrol;Dealer;Manual;0
brio;6;0;5.35;53675;Petrol;Dealer;Manual;0
city;2;0;13.6;49562;Petrol;Dealer;Manual;0
city;3;0;13.6;40324;Petrol;Dealer;Manual;0
city;3;0;13.6;25000;Petrol;Dealer;Manual;0
amaze;4;0;7;36054;Petrol;Dealer;Manual;0
city;2;0;13.6;29223;Petrol;Dealer;Manual;0
brio;2;0;5.97;5600;Petrol;Dealer;Manual;0
amaze;3;0;5.8;40023;Petrol;Dealer;Manual;0
jazz;2;0;7.7;16002;Petrol;Dealer;Manual;0
amaze;3;0;7;40026;Petrol;Dealer;Manual;0
jazz;1;0;8.7;21200;Petrol;Dealer;Manual;0
amaze;4;0;7;35000;Petrol;Dealer;Manual;0
city;2;0;9.4;19434;Diesel;Dealer;Manual;0
brio;1;0;5.8;19000;Petrol;Dealer;Manual;0
city;3;0;10;18828;Petrol;Dealer;Manual;0
city;7;1;10;69341;Petrol;Dealer;Manual;0
city;9;1;10;69562;Petrol;Dealer;Manual;0
city;3;0;10;27600;Petrol;Dealer;Manual;0
jazz;8;1;7.5;61203;Petrol;Dealer;Manual;0
brio;4;0;6.8;16500;Petrol;Dealer;Manual;0
city;2;0;13.6;30753;Petrol;Dealer;Automatic;0
city;3;0;13.6;24800;Petrol;Dealer;Manual;0
city;3;0;13.6;21780;Petrol;Dealer;Manual;0
jazz;2;0;8.4;4000;Petrol;Dealer;Manual;0
city;4;1;13.6;40126;Petrol;Dealer;Manual;0
brio;3;0;5.9;14465;Petrol;Dealer;Manual;0
city;12;1;7.6;50456;Petrol;Dealer;Manual;0
city;4;0;14;63000;Diesel;Dealer;Manual;0
city;2;0;11.8;9010;Petrol;Dealer;Manual;0
brio;5;0;5.9;9800;Petrol;Dealer;Manual;0
jazz;2;0;8.5;15059;Petrol;Dealer;Automatic;0
jazz;2;0;7.9;28569;Petrol;Dealer;Manual;0
amaze;3;0;7.5;44000;Petrol;Dealer;Automatic;0
city;3;0;13.6;34000;Petrol;Dealer;Manual;0
city;2;0;13.6;10980;Petrol;Dealer;Manual;0
amaze;4;0;6.4;19000;Petrol;Dealer;Manual;0
brio;3;0;6.1;31427;Petrol;Dealer;Manual;0
jazz;2;0;8.4;12000;Petrol;Dealer;Manual;0
city;8;1;9.9;38000;Petrol;Dealer;Manual;0
amaze;4;0;6.8;33019;Petrol;Dealer;Manual;0
city;3;0;13.09;60076;Diesel;Dealer;Manual;0
city;2;0;11.6;33988;Diesel;Dealer;Manual;0
brio;3;0;5.9;60000;Petrol;Dealer;Manual;0
city;9;1;11;87934;Petrol;Dealer;Manual;0
city;1;0;12.5;9000;Diesel;Dealer;Manual;0
brio;2;0;5.9;5464;Petrol;Dealer;Manual;0
